Name,Subscription,ResourceGroupName,Location,ResizeGroup,OsType,Role,Size,TargetSize,LicenseType,NicCount,NicCountCap,AvailabilitySet,FaultDomain,UpdateDomain,AvailVMSizesD,AvailVMSizesDv2,AvailVMSizesF,AvailVMSizesDv3,NoResize,NonStandardVM,Notes
VAAZTIAMSRP159,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,4,Linux,Compute,Standard_A4_v2,F4,,3,4,VAAFIPROD2_AS_SAM150_WS,0,6,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZTIAMSRP160,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,4,Linux,Compute,Standard_A4_v2,F4,,3,4,VAAFIPROD2_AS_SAM150_WS,1,10,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZTIAMSRP161,PROD-GOV-INTERNAL,VAAFIPRODDR-PROD-INT-SOUTH-RG,usgovtexas,4,Linux,Compute,Standard_A4_v2,F4,,3,4,VAAFIPROD2_AS_SAM150_WS,0,7,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZTIAMSSO100,PROD-GOV-INTERNAL,ACSPRODDR-PROD-INT-SOUTH-RG,usgovtexas,1,Linux,Compute,Standard_A2_v2,F2,,1,4,ACSPROD2_AS_SSO100,1,1,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZTIAMSSO101,PROD-GOV-INTERNAL,ACSPRODDR-PROD-INT-SOUTH-RG,usgovtexas,2,Linux,Compute,Standard_A2_v2,F2,,1,4,ACSPROD2_AS_SSO100,0,0,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMANS125,PROD-GOV-INTERNAL,MVIPROD-PROD-INT-EAST-RG,usgovvirginia,4,Linux,General,Standard_A2m_v2,D4s_v3,,1,4,,,,,,,,,,
VAAZVIAMAPP100,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,1,Windows,Compute,Standard_A4_v2,F4,Windows_Server,1,4,ACSPROD_AS_APP100_VALOGON,0,0,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMAPP101,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,2,Windows,Compute,Standard_A4_v2,F4,Windows_Server,1,4,ACSPROD_AS_APP100_VALOGON,1,1,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMAPP104,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,1,Windows,Compute,Standard_A4_v2,F4,Windows_Server,1,4,ACSPROD_AS_APP100_ESIG,0,0,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMAPP105,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,2,Windows,Compute,Standard_A4_v2,F4,Windows_Server,1,4,ACSPROD_AS_APP100_ESIG,1,1,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMAPP106,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,1,Windows,Compute,Standard_A8_v2,F8,Windows_Server,1,4,ACSPROD_AS_APP100_AMS-VDT,0,0,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMAPP107,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,2,Windows,Compute,Standard_A8_v2,F8,Windows_Server,1,4,ACSPROD_AS_APP100_AMS-VDT,1,1,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMAPP110,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,3,Linux,General,Standard_A2_v2,D2s_v3,,1,4,ACSPROD_AS_APP100_SSO,0,0,D1 D11 D12 D13 D14 D2 D3 D4 DS1 DS11 DS12 DS13 DS14 DS2 DS3 DS4,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2 DS1_v2 DS11_v2 DS11-1_v2 DS12_v2 DS12-1_v2 DS12-2_v2 DS13_v2 DS13-2_v2 DS13-4_v2 DS14_v2 DS14-4_v2 DS14-8_v2 DS15_v2 DS2_v2 DS3_v2 DS4_v2 DS5_v2,F1 F16 F16s F16s_v2 F1s F2 F2s F2s_v2 F32s_v2 F4 F4s F4s_v2 F64s_v2 F72s_v2 F8 F8s F8s_v2,D16_v3 D16s_v3 D2_v3 D2s_v3 D32_v3 D32s_v3 D4_v3 D4s_v3 D64_v3 D64s_v3 D8_v3 D8s_v3,,,
VAAZVIAMAPP175,PROD-GOV-INTERNAL,VHICPROD-PROD-INT-EAST-RG,usgovvirginia,2,Linux,Compute,Standard_A8_v2,F8,,1,4,VHICPROD_AS_APP175,1,1,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMAPP176,PROD-GOV-INTERNAL,VHICPROD-PROD-INT-EAST-RG,usgovvirginia,1,Linux,Compute,Standard_A8_v2,F8,,1,4,VHICPROD_AS_APP175,0,0,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMASM100,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,1,Windows,General,Standard_A4_v2,D4s_v3,Windows_Server,1,4,,,,,,,,,,
VAAZVIAMBIGIQ,PROD-GOV-INTERNAL,IAMSHARED-PROD-INT-EAST-RG,usgovvirginia,4,Windows,General,Standard_A4_v2,D4s_v3,Windows_Server,3,4,,,,,,,,,,
VAAZVIAMCAM100,PROD-GOV-INTERNAL,IAMSHARED-PROD-INT-EAST-RG,usgovvirginia,4,Windows,General,Standard_A2m_v2,D4s_v3,Windows_Server,1,4,,,,,,,,,$True,Targeting D4s_v3
VAAZVIAMCAM100,PROD-GOV-INTERNAL,IAMSHARED-PROD-INT-SOUTH-RG,usgovtexas,N/A,Windows,General,Standard_A2m_v2,D4s_v3,,1,4,,,,,,,,,$True,Deleting this remnant from ASR
vaazviamedb100,PROD-GOV-INTERNAL,IAMSHARED-PROD-INT-EAST-RG,usgovvirginia,4,Linux,Compute,Standard_A2_v2,F2,,1,4,IAMSHARED_AS_EDB100,0,0,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMFPS150,PROD-GOV-INTERNAL,VAAFIPROD-PROD-INT-EAST-RG,usgovvirginia,3,Linux,Compute,Standard_A4_v2,F4s,,3,4,VAAFIPROD_AS_SAM150_PS,1,3,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D2_v2 D3_v2 D4_v2 D5_v2 DS1_v2 DS11_v2 DS11-1_v2 DS12_v2 DS12-1_v2 DS12-2_v2 DS13_v2 DS13-2_v2 DS13-4_v2 DS14_v2 DS14-4_v2 DS14-8_v2 DS2_v2 DS3_v2 DS4_v2 DS5_v2,F1 F16 F16s F1s F2 F2s F4 F4s F8 F8s,D16_v3 D16s_v3 D2_v3 D2s_v3 D32_v3 D32s_v3 D4_v3 D4s_v3 D64_v3 D64s_v3 D8_v3 D8s_v3,,,
VAAZVIAMFPS151,PROD-GOV-INTERNAL,VAAFIPROD-PROD-INT-EAST-RG,usgovvirginia,4,Linux,Compute,Standard_A4_v2,F4s,,3,4,VAAFIPROD_AS_SAM150_PS,0,2,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D2_v2 D3_v2 D4_v2 D5_v2 DS1_v2 DS11_v2 DS11-1_v2 DS12_v2 DS12-1_v2 DS12-2_v2 DS13_v2 DS13-2_v2 DS13-4_v2 DS14_v2 DS14-4_v2 DS14-8_v2 DS2_v2 DS3_v2 DS4_v2 DS5_v2,F1 F16 F16s F1s F2 F2s F4 F4s F8 F8s,D16_v3 D16s_v3 D2_v3 D2s_v3 D32_v3 D32s_v3 D4_v3 D4s_v3 D64_v3 D64s_v3 D8_v3 D8s_v3,,,
VAAZVIAMFRP150,PROD-GOV-INTERNAL,VAAFIPROD-PROD-INT-EAST-RG,usgovvirginia,3,Linux,Compute,Standard_A4_v2,F4,,3,4,VAAFIPROD_AS_SAM150_WS,1,1,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMFRP151,PROD-GOV-INTERNAL,VAAFIPROD-PROD-INT-EAST-RG,usgovvirginia,4,Linux,Compute,Standard_A4_v2,F4,,3,4,VAAFIPROD_AS_SAM150_WS,0,0,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMLDP150,PROD-GOV-INTERNAL,VAAFIPROD-PROD-INT-EAST-RG,usgovvirginia,2,Linux,Compute,Standard_A4_v2,F4,,1,4,VAAFIPROD_AS_LDP150,0,0,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMLDP151,PROD-GOV-INTERNAL,VAAFIPROD-PROD-INT-EAST-RG,usgovvirginia,1,Linux,Compute,Standard_A4_v2,F4,,1,4,VAAFIPROD_AS_LDP150,1,1,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMLDP152,PROD-GOV-INTERNAL,VAAFIPROD-PROD-INT-EAST-RG,usgovvirginia,2,Linux,Compute,Standard_A4_v2,F4,,1,4,VAAFIPROD_AS_LDP150,0,2,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMLDP153,PROD-GOV-INTERNAL,VAAFIPROD-PROD-INT-EAST-RG,usgovvirginia,1,Linux,Compute,Standard_A4_v2,F4,,1,4,VAAFIPROD_AS_LDP150,1,3,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMLDS100,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,1,Windows,General,Standard_A4_v2,D4s_v3,Windows_Server,1,4,,,,,,,,,,
VAAZVIAMLDS101,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,1,Windows,General,Standard_A4_v2,D4s_v3,Windows_Server,1,4,,,,,,,,,,
VAAZVIAMLDS102,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,2,Windows,General,Standard_A4_v2,D4s_v3,Windows_Server,1,4,,,,,,,,,,
VAAZVIAMMAN100,PROD-GOV-INTERNAL,VAAFIPROD-PROD-INT-EAST-RG,usgovvirginia,4,Windows,General,Standard_A8_v2,D8sv3,Windows_Server,1,4,,,,,,,,,,
VAAZVIAMMAN151,PROD-GOV-INTERNAL,VAAFIPROD-PROD-INT-EAST-RG,usgovvirginia,3,Windows,Compute,Standard_A8_v2,F8,Windows_Server,1,4,VAAFIPROD_AS_MAN150,0,0,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMMDM101,PROD-GOV-INTERNAL,MVIPROD-PROD-INT-EAST-RG,usgovvirginia,4,Windows,General,Standard_A2m_v2,D4s_v3,Windows_Server,1,4,,,,,,,,,,
VAAZVIAMMPI100,PROD-GOV-INTERNAL,MVIPROD-PROD-INT-EAST-RG,usgovvirginia,4,Windows,General,Standard_A2m_v2,D4s_v3,,1,4,,,,,,,,,,
VAAZVIAMNSS01,PROD-GOV-INTERNAL,IAMSHARED-PROD-INT-EAST-RG,usgovvirginia,4,Linux,Compute,Standard_A4_v2,F4,,1,4,IAMSHARED_AS_NSS100,0,0,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMPDP100,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,1,Windows,Compute,Standard_A4_v2,F4,Windows_Server,1,4,ACSPROD_AS_PDP100,0,0,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
VAAZVIAMPDP101,PROD-GOV-INTERNAL,ACSPROD-PROD-INT-EAST-RG,usgovvirginia,2,Windows,Compute,Standard_A4_v2,F4,Windows_Server,1,4,ACSPROD_AS_PDP100,1,1,,D1_v2 D11_v2 D12_v2 D13_v2 D14_v2 D15_v2 D2_v2 D3_v2 D4_v2 D5_v2,F1 F16 F2 F4 F8,,,,
